Screen_Time_Total,Social_Media_Time,Study_Time_In_Screen,Gaming_Time_Total,Sleep_Time,Study_Time_Offline,Outdoor_Time,Attendance_Percentage,Assignments_Per_Week,Backlogs,Notifications,Games_Installed,GPA,Lecture_Hours,Late_Night_SM,Active_Passive_Ratio,Gender,Residence,Part_Time_Job,Residence_Score,Stress_Level,Mental_Health_Rating,Productivity_Index
9.37,0.45,1.69,0.26,7.6,1.69,2.32,74.95,2,3,172,5,7.27,7.21,0.74,0.66,0,Home,0,1.0,6.31,1.51,2.55
7.49,2.62,2.96,1.91,6.32,2.05,4.23,76.19,2,1,125,5,7.36,8.0,0.83,0.38,1,Home,0,1.0,8.81,1.72,2.92
7.8,2.98,0.0,2.1,6.59,1.09,2.99,81.26,3,1,176,3,8.62,4.84,0.96,0.37,0,Home,0,1.0,6.69,2.32,1.51
10.31,1.71,2.17,2.1,6.01,2.26,3.58,69.01,1,0,129,1,8.02,5.72,1.15,0.41,1,Hostel,0,0.8,5.81,2.55,2.84
6.58,1.47,0.79,4.32,7.76,3.9,1.7,78.94,3,0,75,4,7.62,6.96,0.17,0.4,0,PG,0,0.6,5.54,2.43,2.83
6.3,2.14,1.62,2.35,6.3,2.28,2.89,64.63,2,1,122,3,5.89,4.75,1.11,0.55,1,Hostel,0,0.8,7.04,2.42,2.45
4.37,2.21,1.39,0.0,7.7,2.86,2.04,68.11,3,0,79,3,5.88,3.27,0.65,0.28,1,PG,0,0.6,3.4,4.18,2.55
7.16,3.41,1.35,2.39,6.84,3.57,2.06,77.67,1,0,135,2,6.62,7.85,0.98,0.5,1,PG,0,0.6,6.15,2.33,3.06
7.45,3.58,2.34,0.91,6.47,3.42,2.47,61.57,2,0,252,3,8.19,5.62,0.15,0.53,0,Home,0,1.0,6.29,2.16,3.33
9.64,1.87,1.6,0.7,7.9,3.79,1.7,91.23,2,1,104,2,6.73,8.0,1.86,0.63,1,PG,1,0.6,6.31,1.6,3.32
6.58,4.15,0.0,0.0,6.83,2.4,2.31,82.08,2,0,51,3,5.84,6.2,0.18,0.6,0,Hostel,0,0.8,4.39,3.52,2.46
5.84,0.6,2.76,2.47,6.27,3.34,2.41,83.46,3,0,109,1,9.14,6.39,1.17,0.43,0,PG,0,0.6,7.29,2.51,3.62
5.59,2.43,0.0,3.17,6.65,2.48,3.56,85.75,1,0,97,2,5.4,7.59,0.4,0.48,0,Hostel,0,0.8,4.81,4.15,2.59
5.81,2.49,0.54,1.73,7.36,2.95,2.94,75.91,1,0,99,2,7.35,6.89,1.1,0.55,0,Home,0,1.0,3.96,4.31,2.89
11.09,2.85,2.42,0.96,6.6,3.31,3.0,71.02,3,0,58,5,6.36,5.13,1.63,0.1,0,Home,1,1.0,7.57,1.0,3.27
6.91,1.33,1.93,3.64,6.51,2.11,1.51,84.7,1,0,53,5,5.58,5.37,0.59,0.27,0,Hostel,1,0.8,5.75,2.21,2.77
8.39,2.84,0.0,2.94,8.02,3.12,3.04,78.87,2,1,104,2,5.83,3.65,1.31,0.3,0,Home,0,1.0,4.59,3.42,2.29
8.81,6.01,1.94,0.85,6.92,3.22,2.29,79.1,3,0,122,2,5.49,5.26,0.67,0.36,1,PG,0,0.6,7.89,1.25,3.24
7.34,1.26,2.61,2.51,5.25,2.54,1.69,76.06,2,0,198,2,9.14,3.71,1.07,0.62,1,Home,0,1.0,7.02,1.85,3.26
7.34,2.47,0.0,4.15,6.95,1.98,1.78,68.16,2,1,181,1,8.36,4.93,1.23,0.17,0,Home,0,1.0,6.35,2.35,1.96
8.69,3.11,1.87,3.71,7.81,4.28,2.91,94.79,2,0,122,3,5.98,8.0,0.57,0.56,1,Hostel,0,0.8,6.68,2.1,3.72
6.38,0.72,2.08,1.41,6.34,4.1,3.05,91.39,2,0,150,2,6.74,7.04,0.86,0.09,1,PG,0,0.6,5.42,3.26,3.68
5.67,1.57,0.96,2.65,5.14,3.7,2.81,73.43,2,2,82,4,8.72,3.36,1.35,0.33,0,Hostel,0,0.8,8.18,2.0,2.9
4.51,0.53,0.0,0.0,6.6,3.67,2.16,68.35,2,1,172,0,7.59,4.03,0.69,0.23,0,Hostel,1,0.8,3.44,4.56,2.44
9.89,1.43,2.34,2.88,7.34,1.28,3.36,78.59,2,2,167,4,5.89,8.0,0.86,0.69,1,Hostel,0,0.8,8.24,1.0,2.36
9.04,3.66,3.13,0.0,5.8,2.7,3.95,73.85,2,0,93,3,6.93,6.12,0.6,0.69,0,Hostel,0,0.8,7.54,2.03,3.44
4.25,2.76,1.49,0.0,6.47,4.28,2.12,75.95,2,0,134,2,7.72,3.42,1.28,0.43,0,Hostel,0,0.8,4.63,3.88,3.55
9.81,1.46,1.29,0.33,6.16,3.59,2.33,74.51,2,0,136,5,8.52,7.13,1.13,0.6,1,Home,0,1.0,5.27,1.95,2.76
9.12,3.14,1.8,3.13,5.53,1.87,3.44,80.09,1,1,118,3,7.18,5.4,0.61,0.14,0,PG,0,0.6,7.95,1.47,2.75
7.74,0.84,0.0,2.2,7.44,3.33,2.27,67.43,1,1,138,3,10.0,8.0,0.78,0.83,0,Hostel,0,0.8,4.01,3.16,2.12
9.35,2.75,1.91,2.3,6.4,1.48,2.92,91.61,2,0,100,3,7.46,4.77,1.45,0.33,1,Hostel,0,0.8,6.59,2.02,2.44
9.3,1.62,3.38,3.93,6.34,2.14,0.55,92.57,2,0,145,3,10.0,6.21,0.34,0.53,0,PG,0,0.6,7.75,1.0,3.45
7.53,0.27,2.3,0.0,8.3,3.78,2.94,68.05,2,0,157,4,9.43,8.0,0.54,0.63,0,Hostel,0,0.8,2.93,3.78,3.74
6.38,2.1,1.22,3.05,4.36,2.02,2.28,78.09,2,1,108,3,8.54,3.11,0.45,0.04,1,Hostel,0,0.8,8.05,1.78,2.45
7.1,1.48,1.57,4.05,6.01,1.85,1.62,79.1,2,0,162,2,6.66,8.0,1.69,0.57,1,PG,0,0.6,8.02,1.27,2.38
4.38,1.17,0.62,2.18,7.29,2.7,2.07,84.69,1,2,201,3,6.67,5.2,0.01,0.19,0,Hostel,0,0.8,4.35,3.7,2.64
7.4,1.81,1.99,3.62,8.92,3.18,4.49,64.01,3,0,127,2,5.81,5.2,1.04,0.41,1,Hostel,1,0.8,5.47,3.63,3.05
10.45,3.01,1.84,1.73,6.88,2.4,2.11,76.9,2,1,101,3,6.96,4.42,1.45,0.23,1,Home,0,1.0,6.8,1.39,2.95
5.8,2.65,1.29,0.0,6.9,2.83,2.16,65.28,2,0,99,4,6.56,6.05,1.2,0.59,0,Hostel,1,0.8,5.28,2.95,2.92
10.71,2.48,2.33,1.82,6.88,4.15,2.26,73.6,2,0,91,2,7.08,7.6,1.74,0.59,0,Home,0,1.0,7.08,1.41,3.41
9.22,1.58,0.0,4.82,5.23,1.9,2.79,74.54,1,0,131,5,6.27,4.49,0.72,0.27,1,Hostel,0,0.8,5.71,1.97,2.06
7.94,2.83,1.7,3.41,6.7,3.28,2.88,94.76,2,0,42,2,7.9,5.46,0.88,0.82,1,Hostel,0,0.8,6.82,2.53,3.39
7.33,0.9,3.08,1.59,8.45,2.94,0.02,68.23,3,2,134,1,6.86,8.0,1.14,0.39,1,Hostel,0,0.8,7.53,1.09,3.26
8.61,3.96,2.87,1.78,6.3,3.84,2.81,87.43,2,1,108,4,7.39,4.79,0.65,0.31,1,PG,0,0.6,8.43,1.03,4.14
5.61,1.11,1.37,3.13,6.08,4.89,1.46,83.05,2,0,118,3,8.36,8.0,1.38,0.44,1,Hostel,0,0.8,6.93,2.15,3.6
4.69,1.21,1.96,1.31,8.11,2.1,0.61,75.86,2,1,125,2,9.29,5.18,1.07,0.39,0,Hostel,0,0.8,4.45,3.26,2.59
3.0,1.03,0.34,0.0,7.6,4.86,2.71,89.26,2,1,117,3,6.75,7.68,0.93,0.27,1,Hostel,1,0.8,4.21,4.55,3.93
5.98,2.55,2.34,1.08,7.78,3.5,3.82,100.0,2,0,118,4,8.21,8.0,0.82,0.39,0,PG,0,0.6,5.46,3.45,4.07
5.18,0.01,3.58,0.46,6.3,3.58,4.76,95.71,3,0,115,2,7.84,3.0,1.32,0.79,0,Home,1,1.0,6.14,4.25,4.27
7.99,3.3,1.69,3.0,7.72,0.0,1.87,79.49,1,0,129,3,6.92,7.82,1.94,0.14,1,Home,1,1.0,6.6,1.95,1.84
8.83,2.57,1.42,2.7,6.08,3.56,2.13,77.49,3,1,120,2,6.93,5.29,0.66,0.58,1,Hostel,1,0.8,8.79,1.0,3.25
7.08,3.92,0.0,1.72,7.91,3.76,3.3,80.86,2,2,147,4,8.65,7.36,1.09,0.26,1,PG,1,0.6,7.23,2.05,2.39
6.11,4.3,0.41,0.84,6.08,4.11,1.37,64.13,2,0,123,4,6.46,5.93,0.48,0.26,0,PG,0,0.6,5.91,2.1,2.55
8.53,1.24,3.74,3.56,6.64,4.28,0.97,69.18,2,0,109,4,7.17,8.0,0.6,0.37,0,PG,0,0.6,7.9,1.0,4.16
5.01,2.65,2.13,0.21,6.52,1.71,3.44,73.97,2,2,99,3,9.27,6.13,1.12,0.36,1,Home,0,1.0,7.78,2.83,2.8
6.44,0.0,3.96,2.47,7.48,3.45,2.15,73.04,2,0,93,4,5.38,8.0,1.05,0.55,0,Hostel,0,0.8,6.22,2.4,4.32
9.96,0.82,1.02,1.01,6.35,3.61,2.29,68.67,1,0,96,3,6.8,5.12,0.82,0.52,1,Home,0,1.0,3.27,3.15,2.64
3.0,0.64,1.65,0.71,8.49,3.03,2.56,70.67,3,1,65,3,8.49,6.2,0.49,0.47,1,Hostel,0,0.8,4.05,4.6,2.83
10.94,1.83,2.87,0.37,7.34,3.67,2.06,73.4,2,0,123,5,7.4,3.65,0.0,0.4,1,Hostel,0,0.8,3.78,2.13,3.57
5.51,2.55,0.0,2.0,8.03,1.4,2.71,56.75,2,0,119,4,4.89,4.75,0.14,0.67,0,Hostel,0,0.8,2.81,4.28,1.48
7.11,1.73,1.73,3.65,5.59,3.26,3.31,67.17,3,0,104,3,5.4,5.96,0.44,0.64,0,Home,0,1.0,8.08,2.09,3.01
5.12,1.4,1.61,2.11,6.0,2.84,2.66,82.71,1,1,99,4,6.97,4.08,0.6,0.45,1,Hostel,0,0.8,5.48,3.29,3.26
8.52,3.84,1.58,1.59,6.04,4.9,1.77,62.55,1,2,145,4,10.0,2.14,1.5,0.24,0,Hostel,0,0.8,7.43,1.05,3.36
8.11,2.93,3.31,1.56,7.22,1.52,2.48,68.18,2,0,202,1,7.62,5.98,1.11,0.28,1,PG,0,0.6,6.66,2.01,3.05
9.14,3.68,1.21,2.71,7.35,4.72,2.68,64.81,1,0,120,5,6.83,7.94,1.01,0.43,0,Hostel,0,0.8,5.87,1.86,3.48
6.37,3.04,2.2,1.13,6.69,3.79,1.81,62.05,3,1,132,2,7.67,5.9,1.41,0.51,1,Hostel,0,0.8,8.27,1.54,2.89
6.78,2.82,1.57,2.39,7.38,4.0,2.55,60.58,1,2,128,4,7.02,4.38,0.45,0.81,1,Home,0,1.0,6.19,2.5,2.82
3.91,1.33,1.19,1.4,5.56,2.95,2.49,66.87,2,0,85,2,7.7,4.96,0.96,0.76,1,Home,0,1.0,5.57,3.87,2.42
7.25,3.95,1.93,0.0,6.54,2.92,2.83,69.27,1,0,68,0,8.66,5.38,0.57,0.53,0,Home,0,1.0,5.03,3.76,2.79
11.31,2.02,2.42,2.73,6.14,2.24,2.91,75.23,1,0,154,3,8.26,6.59,1.45,0.63,1,Hostel,0,0.8,6.81,1.25,2.81
3.39,1.39,1.1,0.9,6.86,3.35,1.97,69.87,1,0,90,4,9.14,5.94,2.13,0.63,1,Hostel,0,0.8,4.02,4.08,2.71
8.38,3.47,1.14,3.74,5.66,2.8,3.32,81.47,2,1,176,4,8.46,7.57,0.75,0.27,0,Home,0,1.0,9.42,1.0,2.56
7.73,4.13,1.29,1.51,6.38,2.09,1.93,86.7,2,1,132,3,8.0,6.59,0.49,0.63,1,PG,0,0.6,7.77,1.29,2.41
4.76,1.66,1.81,1.29,6.15,3.49,2.73,75.83,2,0,106,3,7.06,6.87,1.25,0.37,0,PG,0,0.6,6.15,3.1,3.44
6.84,0.14,1.36,2.71,5.95,1.92,1.21,77.12,1,2,85,3,7.95,4.31,0.52,0.07,1,Home,0,1.0,5.82,2.41,2.21
6.57,1.85,0.49,4.23,6.57,3.51,0.56,98.01,1,0,60,2,8.71,4.57,0.3,0.64,1,Home,0,1.0,4.52,3.07,3.44
3.0,0.9,0.69,1.41,6.55,2.0,2.93,69.23,3,0,178,4,6.06,7.29,0.97,0.05,0,Hostel,0,0.8,5.27,3.82,2.17
5.01,1.56,1.64,1.81,7.85,4.97,3.11,84.97,2,1,193,1,6.27,4.86,0.63,0.7,0,Home,0,1.0,4.72,4.23,3.8
4.5,1.49,1.27,1.74,7.78,2.65,3.11,94.42,2,1,72,4,9.25,4.53,0.61,0.24,0,Hostel,0,0.8,4.21,4.29,2.99
6.41,1.96,0.07,2.1,7.09,3.32,1.77,78.35,3,1,153,2,7.2,7.95,1.06,0.58,0,Home,0,1.0,6.67,2.37,2.54
3.0,2.13,0.81,0.06,6.77,2.94,3.07,70.36,1,0,156,3,7.42,3.04,0.78,1.0,0,Home,0,1.0,2.5,5.0,2.64
7.25,1.1,3.06,3.1,8.51,3.5,3.25,87.33,3,0,30,1,8.13,6.49,0.66,0.35,0,Home,1,1.0,6.13,3.42,3.72
8.65,0.0,1.37,1.2,8.91,2.77,1.72,83.19,3,0,106,1,7.26,6.41,0.55,0.27,0,Home,0,1.0,2.33,4.01,2.79
10.48,1.07,3.38,2.58,7.21,2.58,3.73,79.36,1,1,113,2,9.0,6.87,1.6,0.36,0,Home,0,1.0,6.86,2.14,3.33
5.12,1.14,0.0,1.65,6.71,3.53,0.83,84.06,3,1,93,3,7.94,5.68,0.88,0.03,1,Hostel,0,0.8,5.36,2.78,2.49
7.97,1.99,3.89,1.35,6.9,2.32,1.9,77.12,2,0,102,3,6.71,3.45,1.51,0.76,0,Home,0,1.0,6.31,2.14,3.39
6.7,1.01,3.56,0.52,7.06,3.58,1.17,73.67,1,1,85,2,8.06,6.14,0.0,0.55,1,Hostel,0,0.8,5.1,2.77,3.72
7.94,1.88,0.27,3.12,7.19,4.04,1.99,80.85,2,0,113,2,6.6,2.0,0.43,0.0,1,Home,0,1.0,3.1,3.77,2.83
8.84,3.24,5.0,0.0,6.98,4.46,3.71,76.58,2,0,217,2,7.22,5.44,1.2,0.63,1,Home,0,1.0,7.48,2.04,4.87
8.75,2.29,1.46,4.83,6.68,2.32,1.24,67.54,2,0,86,4,8.62,3.75,1.19,0.59,0,Home,0,1.0,6.64,1.38,2.59
7.03,1.39,3.02,0.28,8.37,3.59,1.98,61.15,2,0,140,3,7.59,6.69,0.46,0.31,0,Home,0,1.0,3.65,3.48,3.66
6.37,1.46,0.0,2.19,7.87,3.55,2.37,87.43,2,0,91,3,9.36,5.26,1.18,0.63,1,PG,0,0.6,3.06,4.01,2.79
4.69,0.61,2.23,1.85,6.52,1.79,3.69,80.36,1,0,135,4,6.77,6.05,1.58,0.52,0,Home,0,1.0,4.89,4.11,3.12
7.53,2.54,2.39,1.38,7.65,2.8,2.63,88.98,2,0,142,3,6.93,8.0,0.37,0.46,0,Hostel,1,0.8,6.06,2.5,3.28
5.97,3.98,0.0,1.99,5.79,1.68,1.59,86.5,3,1,149,3,7.71,3.85,1.33,0.66,0,Home,0,1.0,8.01,1.69,1.98
5.55,2.09,1.71,1.75,7.17,3.06,2.96,73.11,2,0,45,5,7.06,6.81,0.34,0.29,0,Home,0,1.0,5.06,3.53,3.17
7.83,0.1,0.78,3.33,6.85,1.8,1.89,97.64,1,1,68,3,5.42,7.97,1.48,0.3,1,Home,0,1.0,5.44,2.71,2.37
4.62,1.49,1.78,1.34,5.24,2.42,2.67,68.39,3,1,132,4,8.1,8.0,0.84,0.15,0,Hostel,0,0.8,8.84,1.79,2.48
3.55,0.85,2.06,0.64,7.4,2.38,2.22,66.53,2,0,110,3,7.15,6.16,0.9,0.21,0,Home,0,1.0,3.84,4.44,3.09
7.34,3.6,1.19,2.55,6.93,2.85,1.5,82.36,2,1,30,2,6.61,2.0,0.0,0.5,1,Home,0,1.0,5.69,2.73,3.1
7.97,1.98,1.94,3.62,7.82,2.8,3.09,80.44,1,1,124,2,7.54,7.52,1.81,0.53,1,Home,0,1.0,6.65,2.58,3.19
7.01,1.65,3.14,2.23,5.93,3.04,2.7,87.81,2,0,67,3,9.42,5.77,0.81,0.55,1,Home,0,1.0,7.27,2.38,3.67
9.09,3.48,1.53,2.74,6.05,2.29,2.68,73.08,2,0,125,1,9.11,7.96,0.93,0.42,0,Home,0,1.0,8.06,1.63,2.18
7.5,3.06,3.52,0.91,7.73,3.73,1.56,73.38,3,0,162,3,5.46,8.0,0.98,0.5,0,Hostel,0,0.8,7.48,1.35,4.17
10.54,3.42,3.03,5.41,6.42,4.08,2.97,87.58,2,0,99,3,7.13,3.73,0.97,0.5,1,Home,0,1.0,8.82,1.0,3.98
5.8,1.4,2.93,1.47,6.31,4.57,2.32,67.03,1,3,163,2,6.54,8.0,0.86,0.51,0,Hostel,0,0.8,9.1,1.47,4.1
8.1,4.35,1.53,2.07,7.54,1.15,2.18,91.92,1,1,98,3,7.11,8.0,0.0,0.66,0,Home,1,1.0,7.08,1.94,2.66
6.89,2.99,2.48,1.42,7.29,4.76,2.14,72.56,2,0,125,2,9.97,7.67,0.9,0.31,0,Hostel,1,0.8,6.9,2.21,4.18
8.23,3.08,2.74,2.41,6.33,2.65,1.22,54.51,3,0,77,4,6.76,4.73,0.34,0.38,1,Hostel,0,0.8,7.75,1.0,2.53
6.92,1.47,3.49,1.96,5.82,1.53,2.17,58.53,2,0,174,2,9.8,6.95,0.66,0.55,1,Hostel,0,0.8,7.66,1.73,2.65
7.52,2.06,1.81,3.66,7.79,2.67,0.96,59.25,1,2,87,3,7.8,4.31,1.14,0.13,1,Home,0,1.0,6.25,1.87,2.65
5.64,1.81,2.04,0.0,8.68,3.15,3.41,78.16,2,0,91,3,6.54,5.09,0.0,0.54,0,Home,0,1.0,2.11,5.0,3.53
4.96,1.72,0.83,2.41,6.41,3.13,3.88,55.86,2,0,134,3,9.25,5.95,0.88,0.77,1,Hostel,0,0.8,5.47,3.81,2.47
8.57,2.04,1.61,2.48,8.43,3.42,3.5,91.44,2,0,117,2,9.2,5.8,0.3,0.8,1,Home,0,1.0,3.9,3.89,3.69
9.31,2.58,1.33,1.45,6.49,2.52,4.58,85.7,2,0,156,3,6.96,4.94,0.97,0.38,0,Hostel,0,0.8,5.4,3.09,2.64
7.88,2.36,2.31,3.2,7.51,4.88,2.78,62.83,3,0,91,4,8.23,5.36,1.07,0.27,0,Home,1,1.0,7.25,1.92,3.48
8.21,3.02,0.88,3.26,8.74,3.44,2.11,83.38,2,2,114,2,7.34,6.98,0.0,0.2,1,Hostel,0,0.8,6.07,2.31,2.99
6.96,4.17,0.32,0.53,7.19,3.05,1.36,61.05,2,2,100,2,6.26,5.35,0.89,0.4,0,PG,0,0.6,6.57,1.92,2.21
4.95,1.07,2.2,1.68,6.37,4.03,1.77,58.38,1,0,156,4,7.4,2.0,0.89,0.55,0,Hostel,0,0.8,3.67,3.59,3.43
5.47,2.18,0.86,2.43,7.85,2.37,3.07,99.6,2,1,158,2,7.43,5.72,0.49,0.47,0,Home,0,1.0,4.98,3.95,3.23
8.13,1.43,3.32,1.15,4.93,3.23,3.53,91.64,3,0,149,3,7.38,4.41,0.25,0.24,0,Home,0,1.0,7.75,2.07,4.22
3.22,2.15,0.76,0.31,7.3,2.37,2.89,66.13,2,0,49,4,8.36,6.9,0.69,0.36,0,Home,0,1.0,3.81,4.77,2.23
7.63,3.15,3.73,0.46,6.83,1.86,1.43,64.9,2,1,95,5,6.83,7.65,0.82,0.29,0,Hostel,1,0.8,8.8,1.0,3.18
8.77,2.06,3.91,2.8,6.59,3.03,2.6,71.62,2,0,123,4,10.0,3.5,1.16,0.41,0,Home,0,1.0,7.14,1.64,3.86
5.56,2.21,2.5,0.85,6.38,4.49,2.05,57.34,1,1,139,3,7.9,3.28,0.67,0.47,1,Home,0,1.0,5.38,3.08,3.61
8.61,2.99,1.83,3.8,5.05,3.98,1.85,65.83,2,1,117,3,7.41,4.04,0.0,0.42,1,Hostel,0,0.8,8.86,1.0,2.9
8.7,3.83,1.38,0.36,6.29,1.64,2.32,63.79,1,0,173,2,6.64,7.82,0.86,0.35,0,Hostel,1,0.8,6.34,1.96,2.02
7.58,3.44,2.71,1.42,6.88,2.61,3.79,82.62,3,1,114,3,7.21,6.3,0.27,0.65,1,Hostel,0,0.8,8.42,1.93,3.04
9.9,0.0,1.16,2.79,5.11,3.11,3.15,74.6,2,0,133,3,7.15,8.0,0.24,0.18,0,Hostel,0,0.8,6.27,1.99,3.05
6.28,2.64,0.27,3.38,7.01,2.77,1.85,78.97,2,1,111,4,7.0,6.52,0.19,0.57,0,Home,0,1.0,6.27,2.4,2.34
6.05,0.0,4.87,0.29,7.72,2.62,2.19,73.58,3,1,114,1,7.17,8.0,0.0,0.47,1,Hostel,0,0.8,6.78,2.67,3.87
7.18,0.94,3.79,2.45,7.27,1.76,1.74,78.36,3,0,92,3,7.11,8.0,0.29,0.58,1,Hostel,0,0.8,7.29,1.74,3.57
6.48,1.72,1.0,3.76,7.76,4.63,4.16,92.76,1,2,113,4,8.52,5.34,1.5,0.73,0,Hostel,0,0.8,6.22,3.22,3.71
9.04,2.51,3.13,1.08,5.86,3.33,3.1,58.98,2,0,92,4,8.42,6.11,0.86,0.29,1,Hostel,0,0.8,7.32,1.59,3.36
8.15,0.87,2.42,1.75,7.5,1.86,1.99,74.82,2,0,111,3,5.92,7.55,0.81,0.81,1,PG,0,0.6,5.1,2.42,2.72
8.07,1.18,0.12,2.41,6.86,3.89,2.87,93.36,2,0,115,1,6.21,6.51,1.14,0.37,0,Hostel,0,0.8,4.38,3.59,3.04
5.66,1.84,1.6,2.22,8.9,2.66,2.78,84.02,2,1,163,2,8.92,8.0,0.08,0.68,0,Hostel,0,0.8,4.68,3.74,3.03
5.69,3.21,0.96,1.53,6.92,2.03,1.51,90.64,2,1,109,4,6.25,6.54,0.68,0.35,0,Home,0,1.0,6.45,2.38,2.37
6.86,1.94,2.54,0.0,6.11,5.39,2.38,61.12,2,0,142,7,7.33,3.95,1.26,0.28,0,Hostel,0,0.8,5.33,2.2,4.03
5.36,0.12,2.24,1.85,6.54,3.46,1.4,61.13,2,0,70,2,7.09,2.1,1.91,0.6,0,Hostel,0,0.8,4.39,3.5,3.11
6.55,2.69,1.76,1.77,8.48,4.43,3.42,59.35,1,1,158,1,7.85,4.21,1.05,0.45,1,PG,0,0.6,3.97,4.04,3.56
6.42,2.72,0.59,0.16,7.93,3.02,1.8,77.29,1,0,87,1,7.58,6.54,1.21,0.61,1,Home,0,1.0,2.75,4.42,2.92
3.34,1.94,0.84,0.57,6.35,2.2,2.25,84.86,2,0,123,2,6.49,7.16,1.14,0.55,0,Hostel,1,0.8,5.67,3.74,2.62
3.2,0.83,1.29,1.08,7.57,2.77,1.21,90.6,2,0,126,3,8.69,6.41,0.89,0.46,1,Home,1,1.0,3.97,4.11,3.5
8.26,2.88,1.57,3.8,7.06,2.23,1.98,83.56,3,0,88,5,7.87,5.54,0.4,0.07,0,Home,0,1.0,6.95,1.56,2.64
6.32,2.09,3.46,0.0,5.82,2.69,2.77,80.68,3,1,156,1,6.22,3.27,0.0,0.3,1,Hostel,0,0.8,7.33,2.53,3.53
6.93,1.48,2.36,3.08,6.9,3.2,2.7,100.0,1,1,85,3,7.24,8.0,1.6,0.26,0,Home,0,1.0,7.26,2.41,4.03
6.57,2.52,1.57,2.47,7.24,3.97,3.16,75.94,2,0,34,3,6.54,2.44,0.26,0.12,1,Hostel,0,0.8,4.11,4.0,3.6
5.26,2.67,2.12,0.47,7.2,4.23,3.16,67.56,2,0,122,3,7.92,8.0,1.01,0.55,1,Hostel,1,0.8,6.29,3.14,3.42
12.0,0.0,3.65,2.36,5.64,1.79,3.99,53.29,3,0,114,1,8.82,5.47,0.83,0.35,0,Home,0,1.0,7.66,1.56,2.58
3.0,0.41,0.86,1.73,6.3,1.25,3.51,84.76,3,0,142,3,6.74,7.31,1.1,0.41,1,Hostel,0,0.8,5.67,4.14,2.2
7.06,2.71,1.09,3.26,6.64,1.99,2.29,73.23,1,0,147,4,6.75,5.05,0.91,0.77,1,Hostel,0,0.8,5.38,2.57,2.35
5.96,1.35,1.45,0.93,9.53,2.51,2.32,79.03,2,2,48,2,6.31,8.0,0.37,0.3,0,Hostel,1,0.8,4.53,3.76,3.06
